latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,ndvi_origin,ndwi_origin,lst_c_origin,delta_ros
-16.80346,14.33326,2026-05-10T13:40:00,13.075613075375928,30.54037271630011,n,350.03,central_savanna,28.5,23,3.7777777777777777,302,0.0,0.0,0.0,122.0,250.0,5.2,AF_MIOMBO,5.534940987296783,6.865261441097631,0.0,6.865261441097631,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4272461309855775,0.4173969279093913,1180.4946733090724,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,38.5,19.659094402468458,2.9963622390126163,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,7.540672088079146
-16.81354,14.3239,2026-05-10T11:57:00,0.8784385050547994,254.99221985110842,n,352.82,central_savanna,26.6,24,4.305555555555555,316,0.0,0.0,0.0,136.0,250.0,4.3,AF_MIOMBO,5.824557057541555,8.188890780343714,0.0,8.188890780343714,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.38774284578587054,0.4173969279093913,1071.345837604256,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,36.6,20.7232065062336,2.64671739750656,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-4.946118552486755
-16.81433,14.32296,2026-05-10T11:57:00,0.9660911777237665,252.57981970481947,n,348.17,central_savanna,26.6,24,4.305555555555555,316,0.0,0.0,0.0,136.0,250.0,4.3,AF_MIOMBO,5.824557057541555,8.188890780343714,0.0,8.188890780343714,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.38774284578587054,0.4173969279093913,1071.345837604256,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,36.6,20.7232065062336,2.64671739750656,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-4.858465879817788
-16.80504,14.33576,2026-05-10T13:40:00,13.358968332790198,44.31218556325859,n,349.37,central_savanna,28.5,23,3.7777777777777777,302,0.0,0.0,0.0,122.0,250.0,5.2,AF_MIOMBO,5.534940987296783,6.865261441097631,0.0,6.865261441097631,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4272461309855775,0.4173969279093913,1180.4946733090724,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,38.5,19.659094402468458,2.9963622390126163,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,7.824027345493415
-16.81391,14.32708,2026-05-10T11:57:00,0.6529308160092814,246.87849756669908,n,350.32,central_savanna,26.6,24,4.305555555555555,316,0.0,0.0,0.0,136.0,250.0,4.3,AF_MIOMBO,5.824557057541555,8.188890780343714,0.0,8.188890780343714,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.38774284578587054,0.4173969279093913,1071.345837604256,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,36.6,20.7232065062336,2.64671739750656,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-5.171626241532274
-13.94326,22.92113,2026-05-10T12:00:00,0.7334156921336544,175.25257649108372,n,330.95,central_savanna,29.6,41,3.0555555555555554,58,0.0,0.0,0.0,122.0,250.0,15.0,AF_MIOMBO,3.906462446938167,5.089514183837313,0.0,5.089514183837313,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3810564250437604,0.4173969279093913,1052.871044043561,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,39.6,20.923644566072916,2.446542173570833,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.1730467548045125
-13.94273,22.92479,2026-05-10T12:00:00,0.7465332065024904,179.46245321588972,n,332.87,central_savanna,29.6,41,3.0555555555555554,58,0.0,0.0,0.0,122.0,250.0,15.0,AF_MIOMBO,3.906462446938167,5.089514183837313,0.0,5.089514183837313,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3810564250437604,0.4173969279093913,1052.871044043561,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,39.6,20.923644566072916,2.446542173570833,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.1599292404356762
-15.27424,21.97823,2026-05-10T12:00:00,0.3162653817507285,229.9291252037597,n,342.62,central_savanna,30.1,30,1.972222222222222,354,0.0,0.0,0.0,174.0,250.0,10.9,AF_MIOMBO,2.6351230081555395,2.6481031984150722,0.0,2.6481031984150722,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.43242878052359685,0.4173969279093913,1194.8144991180181,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,40.1,19.521939567053675,2.9872241731785287,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.318857626404811
-13.91628,19.01274,2026-05-13T12:44:00,0.8839297461312556,163.05762336385794,n,333.79,central_savanna,28.9,32,3.9722222222222223,109,0.0,0.0,0.0,71.0,250.0,10.4,AF_MIOMBO,5.6122889154016775,7.351982919150288,0.0,7.351982919150288,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4037346302586818,0.4173969279093913,1115.5316476508253,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,38.9,20.339601818375833,2.7081592726496675,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-4.728359169270422
-13.91617,19.01149,2026-05-13T12:44:00,0.8521993020097081,169.1572901745645,n,330.63,central_savanna,28.9,32,3.9722222222222223,109,0.0,0.0,0.0,71.0,250.0,10.4,AF_MIOMBO,5.6122889154016775,7.351982919150288,0.0,7.351982919150288,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4037346302586818,0.4173969279093913,1115.5316476508253,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,38.9,20.339601818375833,2.7081592726496675,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-4.760089613391969
