latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_deg,slope_pct,aspect_deg,landcover_code,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,ndvi_origin,ndwi_origin,lst_c_origin,delta_ros
-23.63772,27.54654,2021-04-12T23:44:00,0.17163433854276547,86.34683165813556,n,304.49,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.3840687019511582,2.416125578560125,303.2228361720415,30,AF_GRASSLAND_FERTILE,1.348973555212443,0.10392932077872563,0.019009887447802274,0.1229392082265279,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1773392166696777
-23.63852,27.54354,2021-04-13T23:25:00,0.18831732443007287,358.5229256366724,n,316.66,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.3840712400827155,2.4161300110213944,56.77700334182725,40,AF_CEREALES,5.384331220902063e-16,0.012048472200165694,0.008882676520970065,0.02093114872113576,0.02926829268292683,0.00336918194230768,8.68706207741333,6.447509592602077,4.440892098500626e-16,0.4173969279093913,5.071868802413495e-13,0.3091523399750953,0.08398950131233596,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,1.5,1.5,0.0,0.1,15000.0,18,17000,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,0.18831732443007235
-23.63734,27.54218,2021-04-21T22:35:00,0.15666755820186012,9.169068030658504,n,301.17,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.0285190957803105,1.7952973071132514,222.49285044277048,30,AF_GRASSLAND_FERTILE,1.3387456176500256,0.10392932077872563,0.01049574566662958,0.11442506644535522,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1820780594481655
-23.63717,27.54203,2021-04-25T23:00:00,0.28329553642282385,309.7695410783165,n,305.7,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.1121976039762338,1.9413948618901629,204.61021561153012,30,AF_GRASSLAND_FERTILE,1.3408812082407755,0.10392932077872563,0.012273496162780126,0.11620281694150576,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.0575856718179517
-26.09575,29.19832,2021-04-01T23:51:00,1.3638739265967104,317.78348739117024,n,302.9,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,0.46321488970992136,0.8084801114463562,270.0,30,AF_GRASSLAND_FERTILE,1.3286941774209895,0.10392932077872563,0.0021285272814237552,0.10605784806014938,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,0.035179749175720865
-26.09136,29.22903,2021-04-02T23:32:00,0.2139875584455362,62.61609841009822,n,304.42,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.8029105802443572,3.1477115502796242,210.91019307586254,30,AF_GRASSLAND_FERTILE,1.3648966509808427,0.10392932077872563,0.03226490529866444,0.13619422607739007,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1509090925353065
-26.08634,29.22158,2021-04-02T23:32:00,0.18258330390015118,87.30261092081143,n,303.72,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,0.8075194099898549,1.409480574155408,196.6665167316739,30,AF_GRASSLAND_FERTILE,1.3339087219422638,0.10392932077872563,0.006469321415864274,0.1103986421945899,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1513254180421126
-26.09493,29.20041,2021-04-05T22:36:00,0.32523152385412174,47.17913142444511,n,300.97,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.3099132270749734,2.2866282818794934,169.81748809331089,30,AF_GRASSLAND_FERTILE,1.346591232009603,0.10392932077872563,0.01702674691787859,0.12095606769660422,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.0213597081554813
-26.09976,29.19919,2021-04-05T22:36:00,0.2193341759958623,135.4209726988791,n,303.74,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.1862650833158743,2.0707190407187586,257.4445710269597,30,AF_GRASSLAND_FERTILE,1.3429109496551235,0.10392932077872563,0.013963133597053683,0.11789245437577932,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1235767736592612
-26.09625,29.19852,2021-04-08T23:20:00,0.11377074283864777,346.9755660722626,n,321.39,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,2.577301900168739,4.501276793364501,180.0,30,AF_GRASSLAND_FERTILE,1.4053981337098762,0.10392932077872563,0.06597994943129665,0.16990927021002228,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.2916273908712284
