latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,delta_ros
13.28448,13.91074,2026-06-12T11:49:00,0.7374466277047708,85.86509458987656,h,367.0,west_sahel,40.8,24,3.0,303,1.6666666666666667,0.9548412538721887,90.0,33.0,278.0,16.5,AF_MIOMBO,5.777922487174116,4.956275277967126,0.007150495204624259,4.96227371603771,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.5439784757212918,0.4173969279093913,1503.0298612708816,0.041241278695438734,0.17280058193919054,0.22,-0.034,50.8,11.297715313242717,5.848913874702913,1.3,0.75,0.55,0.5,1500.0,25,19500,-5.040475859469345
-14.67934,31.59007,2026-06-10T12:19:00,6.142385843243735,124.18148451536678,h,367.0,central_savanna,24.4,31,4.805555555555555,105,1.6666666666666667,0.9548412538721887,180.0,105.0,1015.0,6.1,AF_MIOMBO,5.572925973850596,9.440078782160608,0.007150495204624259,9.43823062501776,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3269247627689045,0.4173969279093913,903.3035363743334,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.4,22.287860673546085,2.108855730581565,1.3,0.75,0.55,0.5,1500.0,25,19500,0.569459869393139
-14.6799,31.5365,2026-06-10T12:19:00,3.6397676979249365,303.54278127842866,h,367.0,central_savanna,25.0,28,4.611111111111112,103,2.3570226039551585,1.3502244696996157,225.0,58.0,995.0,5.3,AF_MIOMBO,5.638284135520164,8.954940789617218,0.014300990409248518,8.962527365581133,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3469459835316727,0.4173969279093913,958.6228072804771,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.0,21.798000108487674,2.28079995660493,1.3,0.75,0.55,0.5,1500.0,25,19500,-1.9985164375952271
13.28956,13.90974,2026-06-12T11:49:00,1.0639606410119806,32.50299804745222,h,367.0,west_sahel,40.8,24,3.0,303,0.0,0.0,0.0,123.0,279.0,16.5,AF_MIOMBO,5.772109518520444,4.956275277967126,0.0,4.956275277967126,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.5439784757212918,0.4173969279093913,1503.0298612708816,0.041241278695438734,0.17280058193919054,0.22,-0.034,50.8,11.297715313242717,5.848913874702913,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.708148877508464
-14.86022,26.19067,2026-06-11T12:00:00,0.8994726713840399,169.82971703592764,h,367.0,central_savanna,25.0,30,4.027777777777778,83,1.6666666666666667,0.9548412538721887,180.0,83.0,1090.0,5.9,AF_MIOMBO,4.73100089124642,7.491343203035056,0.007150495204624259,7.4922179906925255,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.34076109603785293,0.4173969279093913,941.5337660652235,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.0,21.956388994363017,2.217444402254793,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.83152821986238
-11.71705,16.3145,2026-06-12T11:42:00,0.22933520583146794,327.70507716763035,h,367.0,central_savanna,24.5,26,3.8333333333333335,111,0.0,0.0,0.0,69.0,1495.0,3.5,AF_MIOMBO,4.475511861687111,7.004120408600187,0.0,7.004120408600187,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.344204577580278,0.4173969279093913,951.048215287019,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.5,21.86189925586906,2.2752402976523767,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.246176655855643
-14.74983,26.02973,2026-06-12T11:42:00,1.4811929966554047,191.5718617698742,h,367.0,central_savanna,21.7,40,4.111111111111112,84,3.72677996249965,2.1342998941463125,296.565051177078,32.565051177077976,1090.0,7.5,AF_MIOMBO,3.836894946460506,7.700532223796277,0.0357524760231213,7.73068767895073,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.26860820490186454,0.4173969279093913,742.1730288400597,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,31.7,23.936045008669552,1.5575819965321778,1.3,0.75,0.55,0.5,1500.0,25,19500,-2.355701949805101
-16.1077,20.564,2026-06-13T13:04:00,13.129989833310528,266.8476245821339,h,367.0,central_savanna,25.1,21,4.861111111111111,85,6.666666666666667,3.8140748342903543,180.0,85.0,1125.0,1.2,AF_MIOMBO,6.325888795357641,9.578196162118461,0.11440792327398815,9.58884482990224,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.368930641607624,0.4173969279093913,1019.3671180441896,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.1,21.196275869645078,2.5174896521419683,1.3,0.75,0.55,0.5,1500.0,25,19500,6.804101037952887
-13.90385,26.14202,2026-06-11T12:00:00,0.3624073574662084,60.84821555709985,h,367.0,central_savanna,24.1,33,4.194444444444445,82,0.0,0.0,0.0,98.0,1178.0,6.7,AF_MIOMBO,4.58887494205668,7.909823008219355,0.0,7.909823008219355,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.31499243355668416,0.4173969279093913,870.3341305596981,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.1,22.56186013822521,2.0112559447099168,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.226467584590472
-13.90104,26.13762,2026-06-11T12:00:00,0.31096269383456787,24.584864561144293,l,367.0,central_savanna,24.1,33,4.194444444444445,82,0.0,0.0,0.0,98.0,1179.0,6.7,AF_MIOMBO,4.58887494205668,7.909823008219355,0.0,7.909823008219355,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.31499243355668416,0.4173969279093913,870.3341305596981,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.1,22.56186013822521,2.0112559447099168,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.277912248222113
-8.69449,23.59164,2026-06-11T12:02:00,0.629742452195229,178.39058330806293,l,367.0,central_savanna,29.6,23,4.388888888888889,119,3.3333333333333335,1.9091524329963763,90.0,151.0,1071.0,6.4,AF_MIOMBO,6.924443386335319,8.398096136189947,0.028601980818497037,8.373091762144881,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.44614379078404715,0.4173969279093913,1232.7095094706979,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,39.6,19.057637823518895,3.1929448705924424,1.3,0.75,0.55,0.5,1500.0,25,19500,-6.29470093414009
-9.93715,24.17886,2026-06-13T11:23:00,0.9342825239577833,19.794983779239203,h,367.0,central_savanna,25.1,29,4.194444444444445,121,0.0,0.0,0.0,59.0,1004.0,5.8,AF_MIOMBO,5.03078868806288,7.909823008219355,0.0,7.909823008219355,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3456235506045978,0.4173969279093913,954.9688829661266,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.1,21.833615022086082,2.262553991165566,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.096506164105096
-14.52289,26.71362,2026-06-11T12:00:00,0.8672003484387477,211.6555061558836,h,367.0,central_savanna,24.5,30,5.472222222222222,80,0.0,0.0,0.0,100.0,1121.0,5.8,AF_MIOMBO,6.540713666784151,11.076556914728206,0.0,11.076556914728206,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3319001960733779,0.4173969279093913,917.0508171274357,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.5,22.16936416095722,2.152254335617113,1.3,0.75,0.55,0.5,1500.0,25,19500,-5.673513318345403
-9.93993,18.24091,2026-06-12T11:45:00,0.925918032577661,180.23792782434043,h,367.0,central_savanna,29.0,21,5.638888888888889,128,8.975274678557508,5.128711509483252,248.19859051364818,59.801409486351815,1006.0,4.8,AF_MIOMBO,9.165759473368691,11.47674325379579,0.20736436093410357,11.582433948401105,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4420427160130173,0.4173969279093913,1221.3781092052936,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,39.0,19.188786739830306,3.1644853040678775,1.3,0.75,0.55,0.5,1500.0,25,19500,-8.23984144079103
-13.46016,22.31248,2026-06-12T11:42:00,0.8296262633976155,287.095935451106,h,367.0,central_savanna,22.1,45,4.333333333333333,101,0.0,0.0,0.0,79.0,1076.0,9.8,AF_MIOMBO,4.014510208118427,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.26307709922285955,0.4173969279093913,726.8904076106696,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,32.1,24.13237716424121,1.4630491343035157,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.1848839447208115
-9.94189,24.18242,2026-06-13T11:23:00,0.7794414334062584,49.323273582860885,h,367.0,central_savanna,25.1,29,4.194444444444445,121,3.72677996249965,2.1342998941463125,243.43494882292202,57.565051177077976,982.0,5.8,AF_MIOMBO,5.041648271761272,7.909823008219355,0.0357524760231213,7.929055970423712,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3456235506045978,0.4173969279093913,954.9688829661266,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.1,21.833615022086082,2.262553991165566,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.262206838355013
-9.76721,23.56839,2026-06-11T12:02:00,1.0365440684036549,189.91093654634815,h,367.0,central_savanna,29.2,24,3.944444444444444,105,3.3333333333333335,1.9091524329963763,270.0,15.0,960.0,6.6,AF_MIOMBO,5.998507607189431,7.282342257187607,0.028601980818497037,7.309973397483433,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.4363791064156594,0.4173969279093913,1205.729375427506,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,39.2,19.3808045582268,3.079678176709279,1.3,0.75,0.55,0.5,1500.0,25,19500,-4.961963538785776
-9.71096,23.60404,2026-06-13T11:23:00,0.7779122077126308,253.394416416021,h,367.0,central_savanna,25.8,27,4.638888888888888,114,12.018504251546632,6.853224835121291,303.69006752597977,9.69006752597977,962.0,5.5,AF_MIOMBO,6.176800199705502,9.024390268297685,0.3718257506404616,9.39111960066648,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.36366334195029976,0.4173969279093913,1004.8134012583873,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,35.8,21.357527885764284,2.4249888456942856,1.3,0.75,0.55,0.5,1500.0,25,19500,-5.398887991992871
-9.9283,22.44085,2026-06-13T11:23:00,0.985122942498105,92.82388154836718,h,367.0,central_savanna,24.1,34,4.027777777777778,118,0.0,0.0,0.0,62.0,1044.0,7.1,AF_MIOMBO,4.332227216949045,7.491343203035056,0.0,7.491343203035056,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.31167216634584455,0.4173969279093913,861.1601264620666,0.041241278695438734,0.17280058193919054,0.35,0.0049999999999999906,34.1,22.636907001833787,1.9812371992664852,1.3,0.75,0.55,0.5,1500.0,25,19500,-3.34710427445094
-17.03335,44.66731,2026-06-12T10:00:00,0.41295579433329643,226.26323054850735,h,367.0,madagascar,27.1,44,2.694444444444444,184,1.6666666666666667,0.9548412538721887,180.0,176.0,41.0,13.9,AF_MIOMBO,2.878373374652105,4.235983003562685,0.007150495204624259,4.228849956021362,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3291204974648754,0.4173969279093913,909.3704213022653,0.041241278695438734,0.17280058193919054,0.22,-0.034,37.1,22.26916520710852,2.0083339171565915,1.3,0.75,0.55,0.5,1500.0,25,19500,-2.4654175803188085
-17.0099,45.91922,2026-06-12T10:00:00,0.7454263280259751,2.0692084775847457,h,367.0,madagascar,26.6,41,2.2777777777777777,100,3.72677996249965,2.1342998941463125,206.565051177078,73.434948822922,251.0,12.4,AF_MIOMBO,2.376983426791549,3.2965496654735387,0.0357524760231213,3.306920393523578,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3316034902613888,0.4173969279093913,916.2310095149361,0.041241278695438734,0.17280058193919054,0.22,-0.034,36.6,22.203278735102398,2.0546885059590405,1.3,0.75,0.55,0.5,1500.0,25,19500,-1.6315570987655739
