latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,ndvi_origin,ndwi_origin,lst_c_origin,delta_ros
-33.95299,18.43611,2021-04-18T23:35:00,1.3087037287036118,249.6037524721284,n,301.49,south_africa_fynbos,14.2,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,13.8,AF_MIOMBO,3.942435966636178,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,24.2,28.458539647218096,0.04858414111276122,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.6337322379325663
-33.94846,18.43136,2021-04-18T23:35:00,1.8948088915179835,278.6338504078092,n,300.03,south_africa_fynbos,15.9,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,15.5,AF_MIOMBO,3.946963791505573,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,25.9,28.274497115322543,0.05420115387098262,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.052154899987589
-33.94938,18.43645,2021-04-18T23:35:00,1.187952884876681,276.4791265407515,n,339.51,south_africa_fynbos,15.4,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,14.9,AF_MIOMBO,3.9456275385591897,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,25.4,28.328767864483176,0.05249285420672954,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.7576746536825087
-33.95024,18.44116,2021-04-18T23:35:00,0.5391685176564276,269.3051005789944,n,299.43,south_africa_fynbos,14.9,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,14.4,AF_MIOMBO,3.944295104008916,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,24.9,28.382920147164285,0.05083194113428604,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.4051265863524884
-33.94202,18.45643,2021-04-18T23:35:00,0.2880373423799341,233.01518151143026,n,304.08,south_africa_fynbos,18.0,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,17.6,AF_MIOMBO,3.952619523764396,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.0,28.045200809800463,0.061919676079814606,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.664582181384462
-33.94556,18.45569,2021-04-18T23:35:00,0.23531465085175482,100.40615972956871,n,302.6,south_africa_fynbos,18.0,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,17.6,AF_MIOMBO,3.952619523764396,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.0,28.045200809800463,0.061919676079814606,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.7173048729126412
-33.94578,18.43684,2021-04-18T23:35:00,1.3389671744901928,302.65925468992793,n,342.08,south_africa_fynbos,16.5,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,16.0,AF_MIOMBO,3.9485724442593013,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,26.5,28.20921181244276,0.05631527502289622,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.6096052697691086
-33.94637,18.46013,2021-04-18T23:35:00,0.3153812344116282,148.22067094763054,n,306.35,south_africa_fynbos,18.0,97,4.333333333333333,165,0.0,0.0,0.0,15.0,250.0,17.6,AF_MIOMBO,3.952619523764396,8.258639924519299,0.0,8.258639924519299,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.24339511242787965,0.4173969279093913,672.5084509665786,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.0,28.045200809800463,0.061919676079814606,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.637238289352768
-33.94549,18.42886,2021-04-19T11:57:00,0.5425951971622296,324.9689406866704,n,339.82,south_africa_fynbos,17.2,69,11.25,144,0.0,0.0,0.0,36.0,250.0,11.5,AF_MIOMBO,8.85870526720402,21.19312623686656,0.0,21.19312623686656,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23720876122649254,0.4173969279093913,655.4153654806782,0.041241278695438734,0.17280058193919054,0.22,-0.034,27.2,26.759120115376376,0.6083519538494496,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-8.31611007004179
-33.95002,18.42584,2021-04-19T13:37:00,0.6399731720775613,251.2556185443753,n,346.81,south_africa_fynbos,18.2,61,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,10.4,AF_MIOMBO,8.398894075981682,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.2359076793086774,0.4173969279093913,651.8204346852222,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.2,26.14216439393923,0.8151342424243081,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-7.75892090390412
